,date,open,high,low,close,volume
1347,2018-09-24,"1,007.52","1,011.29","1,007.45","1,011.29",186.72K
1403,2018-09-25,"1,011.94","1,014.53","1,008.67","1,010.74",231.99K
1459,2018-09-26,"1,008.93","1,014.86","1,007.44","1,009.61",261.51K
1516,2018-09-27,"1,012.57","1,017.78","1,010.49","1,015.37",207.78K
1576,2018-09-28,"1,019.34","1,020.84","1,015.40","1,017.13",247.22K
99,2018-10-01,"1,019.49","1,023.87","1,012.88","1,012.88",247.86K
108,2018-10-02,"1,014.26","1,021.51","1,013.11","1,018.79",358.39K
115,2018-10-03,"1,021.08","1,024.59","1,016.47","1,020.40",174.39K
123,2018-10-04,"1,024.68","1,024.68","1,020.40","1,023.62",196.62K
132,2018-10-05,"1,020.21","1,020.77","1,008.39","1,008.39",294.15K
158,2018-10-08,"1,003.31","1,006.13",996.12,996.12,205.52K
167,2018-10-09,998.7,"1,001.87",996.19,996.19,202.59K
175,2018-10-10,998.66,999.62,991.22,993.96,191.36K
183,2018-10-11,972.21,972.21,938.83,945.89,353.53K
192,2018-10-12,939.2,970.08,933.35,970.08,228.89K
828,2018-10-15,968.8,969.36,951.64,951.64,144.31K
885,2018-10-16,950.36,963.69,950.36,963.37,149.13K
946,2018-10-17,973.14,975.27,969.06,971.6,152.27K
1004,2018-10-18,968.93,970.75,962.68,963.47,145.46K
1061,2018-10-19,949.94,959.63,945.83,958.36,153.57K
1237,2018-10-22,958.36,963.79,953.51,953.51,147.53K
1294,2018-10-23,950.12,950.42,925.29,939.68,202.94K
1352,2018-10-24,935.25,939.06,922.73,922.73,149.35K
1408,2018-10-25,902.59,912.07,885.34,910.17,177.77K
1464,2018-10-26,918.11,918.16,900.82,900.82,157.34K
1632,2018-10-29,895.05,897.84,884.92,888.82,139.99K
1681,2018-10-30,881.32,894.8,880.85,888.69,133.32K
1722,2018-10-31,894.23,914.76,894.23,914.76,216.19K
100,2018-11-01,915.52,918.84,905.73,907.96,182.19K
109,2018-11-02,911.35,927.62,910.4,924.86,222.36K
133,2018-11-05,920.87,925.53,915.77,925.53,136.55K
142,2018-11-06,931,931.27,921.93,922.05,139.12K
150,2018-11-07,922.03,924.6,915.41,922.16,143.11K
159,2018-11-08,928.69,932.86,925.54,926.28,145.78K
168,2018-11-09,921.11,925.31,914.29,914.29,149.09K
193,2018-11-12,909.36,918.99,903.95,918.12,125.02K
718,2018-11-13,904.35,910.2,903.48,905.38,170.03K
777,2018-11-14,904.16,910.58,898.83,900.93,142.27K
833,2018-11-15,901.13,903.83,892.5,897.15,166.09K
890,2018-11-16,901.44,903.21,894.14,898.19,160.63K
1066,2018-11-19,902.65,916.06,900.61,916.06,149.94K
1124,2018-11-20,909.76,919.02,909.76,919.02,159.14K
1183,2018-11-21,909.83,922.56,907.47,922.56,152.76K
1242,2018-11-22,924.93,926.15,922.02,924.42,155.62K
1299,2018-11-23,923.91,925.84,916.87,917.97,137.97K
1469,2018-11-26,915.67,921.96,914.43,921.03,118.73K
1527,2018-11-27,925.12,930.37,921.26,923.12,152.64K
1586,2018-11-28,923.12,930.2,922.03,930.2,136.36K
1637,2018-11-29,934.88,937.75,926.79,926.79,131.82K
1686,2018-11-30,924.49,928.92,921.08,926.54,158.59K
116,2018-12-03,937.7,951.59,937.1,951.59,209.83K
124,2018-12-04,952.97,960.44,950.89,958.84,227.42K
134,2018-12-05,950.34,960.87,946.97,957.14,212.46K
143,2018-12-06,957.14,959.59,948.44,954.82,179.14K
151,2018-12-07,956.49,962.39,955.96,958.59,190.46K
176,2018-12-10,955.06,958.25,951.5,955.89,213.52K
184,2018-12-11,955.93,957.97,949.34,954.58,180.82K
194,2018-12-12,956.32,961.28,956,961.28,222.07K
723,2018-12-13,961.28,966.83,960.1,960.25,171.86K
782,2018-12-14,958.78,960.09,951.04,952.04,200.32K
955,2018-12-17,948.09,948.09,933.65,933.65,255.17K
1014,2018-12-18,933.65,933.65,917.03,927.25,175.72K
1071,2018-12-19,926.35,927.03,914.55,919.24,186.09K
1129,2018-12-20,915.5,921.79,914.18,918.24,146.89K
1188,2018-12-21,911.57,915.02,907.88,912.26,199.11K
1361,2018-12-24,910.86,916.41,908.56,908.56,158.97K
1418,2018-12-25,893.71,897.94,882.17,897.94,250.43K
1474,2018-12-26,896.63,899.49,890.86,891.75,139.07K
1532,2018-12-27,904.8,906.63,900.81,900.81,151.69K
1591,2018-12-28,903.79,903.79,892.54,892.54,175.94K
202,2019-01-02,900.1,900.1,891.1,891.75,111.52K
209,2019-01-03,889.78,892.21,872.12,878.22,156.58K
217,2019-01-04,872.69,881.48,861.85,880.9,136.57K
241,2019-01-07,890.47,896.63,885.3,889.64,127.55K
248,2019-01-08,891.37,891.87,883.67,887.44,112.83K
256,2019-01-09,890.26,897.25,888.61,896.99,160.51K
264,2019-01-10,897.85,899.47,895.17,898.3,130.59K
272,2019-01-11,899.1,904.37,899.1,902.71,131.41K
727,2019-01-14,903.83,903.83,897.18,901.8,143.85K
787,2019-01-15,901.21,909.68,898.92,909.68,127.19K
844,2019-01-16,911.32,912.48,906.39,908.7,164.29K
901,2019-01-17,908.48,909.06,901.89,901.89,133.89K
961,2019-01-18,902.7,906.35,900.64,902.3,140.75K
1133,2019-01-21,905.25,911.74,903.09,911.05,165.63K
1193,2019-01-22,912.73,913.37,906.55,906.55,152.16K
1253,2019-01-23,905.73,910.12,905.12,908.18,129.14K
1309,2019-01-24,908.56,910.59,906.59,908.79,110.29K
1367,2019-01-25,908.86,911.59,907.96,908.88,117.59K
1536,2019-01-28,912.53,913.43,908.9,912.18,133.32K
1596,2019-01-29,913.67,915.93,907.09,915.93,121.44K
1647,2019-01-30,914.08,917.8,913.48,915.84,139.40K
1696,2019-01-31,919.12,920.36,910.38,910.65,138.05K
195,2019-02-01,911.98,912.81,907.52,908.67,140.80K
273,2019-02-11,916.21,926.1,916.07,926.1,124.64K
282,2019-02-12,930.37,938.64,926.98,937.54,188.42K
673,2019-02-13,937.61,945.25,937.34,945.25,215.28K
732,2019-02-14,946.54,953.66,945.99,952.34,181.06K
791,2019-02-15,951.9,955.4,948.26,950.89,160.69K
965,2019-02-18,954.85,961.3,953.32,961.3,194.65K
1022,2019-02-19,962.84,971.92,962.81,964.35,231.96K
1079,2019-02-20,963.29,972.75,963.29,970.58,170.88K
1139,2019-02-21,972.82,987.57,970.31,987.57,178.58K
1198,2019-02-22,983.99,993.16,982.86,988.91,215.63K
1370,2019-02-25,996.06,999.9,992.72,994.43,227.74K
1425,2019-02-26,991.63,996.44,979.24,987.06,251.65K
1482,2019-02-27,989.61,994.46,988.09,990.27,258.93K
1541,2019-02-28,989.84,990.25,965.47,965.47,224.81K
196,2019-03-01,971.05,980.82,970.54,979.63,170.04K
218,2019-03-04,983.5,994.46,983.33,993.99,235.64K
226,2019-03-05,990.08,"1,000.25",987.92,992.45,297.44K
234,2019-03-06,993.01,994.49,985.51,994.49,250.93K
242,2019-03-07,995.65,"1,004.55",994.03,994.03,210.70K
249,2019-03-08,987.89,991.98,984.48,985.25,202.51K
274,2019-03-11,982.94,987.11,981.34,984.6,178.66K
283,2019-03-12,991.14,"1,001.32",990.46,"1,001.32",208.19K
678,2019-03-13,"1,003.75","1,009.77","1,003.01","1,005.41",229.38K
738,2019-03-14,"1,006.37","1,011.39","1,002.09","1,008.44",224.54K
796,2019-03-15,"1,008.44","1,008.44","1,001.10","1,004.12",250.28K
969,2019-03-18,"1,004.12","1,013.29","1,004.12","1,011.86",230.55K
1026,2019-03-19,"1,013.75","1,014.51","1,004.22","1,006.59",236.59K
1084,2019-03-20,"1,002.86","1,003.25",992.02,"1,002.30",300.09K
1145,2019-03-21,"1,005.12","1,006.37",981.78,981.78,200.03K
1204,2019-03-22,984.9,990.07,981.3,988.71,206.93K
1374,2019-03-25,976.53,976.53,964.76,970.07,245.78K
1429,2019-03-26,970.07,978.99,966.9,969.79,175.42K
1487,2019-03-27,976.67,979.32,972.25,975.91,159.94K
1547,2019-03-28,973.44,983.18,972.6,982.98,217.07K
1600,2019-03-29,985.35,988.24,980.76,980.76,173.91K
197,2019-04-01,980.76,988.53,980.76,988.53,188.62K
203,2019-04-02,994.87,996.41,985.48,985.81,236.02K
210,2019-04-03,984.74,985.26,980.3,984.46,216.94K
219,2019-04-04,987.47,989.08,982.94,986.91,165.31K
227,2019-04-05,986.91,990.38,986.39,989.26,189.29K
250,2019-04-08,989.26,997.56,989.26,997.56,163.69K
257,2019-04-09,999.89,"1,000.02",987.82,988.48,165.18K
265,2019-04-10,984.79,987.27,976.83,981.91,159.91K
275,2019-04-11,984.46,985.95,981.06,985.95,129.48K
284,2019-04-12,984.66,984.69,980.26,982.9,153.83K
857,2019-04-16,970.87,978.53,963.06,977.17,150.02K
917,2019-04-17,977.17,980.71,972.1,972.1,186.72K
975,2019-04-18,969.5,973.73,962.05,962.3,160.39K
1031,2019-04-19,968.27,971.73,965.46,966.21,106.98K
1208,2019-04-22,963.78,966.69,959.33,965.86,216.34K
1266,2019-04-23,964.84,970.98,964.35,968,154.89K
1323,2019-04-24,969.66,978.71,969.66,976.92,134.07K
1379,2019-04-25,976.46,976.46,971.92,974.13,149.12K
1434,2019-04-26,972.86,979.64,970.73,979.64,118.54K
204,2019-05-02,978.81,979.93,975.51,978.5,152.16K
211,2019-05-03,976.77,977.13,971.75,974.14,148.57K
235,2019-05-06,964.37,964.89,955.41,957.97,155.65K
243,2019-05-07,961.31,965.61,955.42,957.56,145.34K
251,2019-05-08,950.1,953.88,947.86,951.22,143.30K
258,2019-05-09,950.66,953.66,944.91,947.01,181.40K
266,2019-05-10,950.37,953.92,947.85,952.55,131.03K
687,2019-05-13,952.11,958.54,951.76,958.54,232.04K
747,2019-05-14,952.13,965.34,952.13,965.34,158.18K
805,2019-05-15,967.95,977.65,967.95,975.64,188.85K
862,2019-05-16,976.96,981.22,975.69,975.69,170.22K
922,2019-05-17,977.85,980.04,974.91,976.48,135.09K
1093,2019-05-20,975.95,987.13,974.47,987.13,153.16K
1153,2019-05-21,989.67,992.84,986.07,986.29,206.56K
1214,2019-05-22,986.66,992.26,982.68,983.78,174.96K
1271,2019-05-23,982,984.57,977.17,982.71,160.09K
1328,2019-05-24,976.59,983.14,970.03,970.03,168.34K
1496,2019-05-27,970.73,975.4,970.41,975.14,138.47K
1556,2019-05-28,977.02,978.8,969.51,972,148.99K
1609,2019-05-29,973.31,974.96,969.55,971.54,145.31K
1658,2019-05-30,971.01,974.56,967.21,969.34,159.99K
1706,2019-05-31,968.53,969.94,959.88,959.88,136.53K
212,2019-06-03,953.58,955.78,940.28,946.47,184.66K
220,2019-06-04,945.62,951.42,943.21,951.16,162.40K
228,2019-06-05,955.8,958.39,951.39,951.41,131.58K
236,2019-06-06,951.41,951.41,939.35,948.21,125.90K
244,2019-06-07,951.64,958.28,950.94,958.28,148.04K
267,2019-06-10,963.78,966.9,958.6,962.9,154.90K
276,2019-06-11,962.43,964.81,959.98,962.07,136.38K
285,2019-06-12,960.6,960.6,953.83,954.17,138.11K
693,2019-06-13,951.26,952.06,946.29,950.08,142.81K
752,2019-06-14,948.65,954.7,948.65,953.61,155.88K
926,2019-06-17,953.97,955.18,944.47,946.95,174.37K
985,2019-06-18,945.73,947.3,938.95,944.01,166.94K
1042,2019-06-19,948.92,950.04,946.83,949.69,147.36K
1099,2019-06-20,949.48,962.33,948.97,959.18,185.49K
1158,2019-06-21,962.69,964.52,959.12,959.2,206.14K
1332,2019-06-24,960.29,967.11,959.8,962.85,150.30K
1389,2019-06-25,961.19,963.23,960.06,960.13,164.35K
1445,2019-06-26,960.13,962.7,958.38,959.13,252.32K
1502,2019-06-27,959.48,959.48,943.11,943.11,159.03K
1561,2019-06-28,944.53,949.94,939.12,949.94,182.63K
198,2019-07-01,958.92,965.61,957.66,965.61,166.45K
205,2019-07-02,964.77,966.76,959.8,961.98,138.22K
213,2019-07-03,960.44,961.67,956.91,960.39,136.59K
221,2019-07-04,961.78,973.04,961.65,973.04,189.90K
229,2019-07-05,973.04,975.34,970.16,975.34,137.92K
252,2019-07-08,972.83,972.83,963.84,966.35,165.88K
259,2019-07-09,965.24,969.05,963.05,969.05,169.48K
268,2019-07-10,971.19,974.96,971.19,973.65,154.56K
277,2019-07-11,976.95,980.02,975.03,978.63,161.66K
286,2019-07-12,980.11,982.1,974.32,975.4,157.31K
814,2019-07-15,975.57,975.66,970.93,972.53,150.55K
871,2019-07-16,975.05,982.11,975.05,982.11,174.67K
932,2019-07-17,981.49,985.59,979.05,982.57,170.02K
990,2019-07-18,979.16,979.49,975.01,976.05,139.85K
1047,2019-07-19,978.12,986.12,978.12,982.34,170.27K
1223,2019-07-22,981.17,985.13,980.08,982.04,164.37K
1280,2019-07-23,981.38,990.45,980.22,989.46,184.83K
1338,2019-07-24,993.01,994.85,986.34,988.41,169.64K
1394,2019-07-25,986.85,997.49,986.85,994.95,171.79K
1450,2019-07-26,994.8,998.52,992.97,993.35,152.41K
1618,2019-07-29,994.23,997.94,988.29,997.94,147.83K
1667,2019-07-30,"1,001.46","1,002.77",986.02,986.02,154.32K
1712,2019-07-31,986,993.4,982.64,991.66,172.88K
199,2019-08-01,993.25,997.39,990.88,997.39,222.66K
206,2019-08-02,987.55,991.39,985.69,991.1,186.79K
230,2019-08-05,988.6,988.99,973.15,973.15,195.93K
237,2019-08-06,960.29,966.15,958.39,964.61,210.93K
245,2019-08-07,967.18,971.96,961.64,965.93,219.15K
253,2019-08-08,965.93,975.83,964.21,975.24,219.24K
260,2019-08-09,976.41,978.69,974.33,974.34,192.31K
287,2019-08-12,975.38,977.63,973.22,975.31,174.55K
703,2019-08-13,972.7,973.09,964.03,966.83,181.50K
763,2019-08-14,975.88,975.99,968.91,968.91,151.49K
820,2019-08-15,958.05,979.38,955.76,979.38,182.91K
876,2019-08-16,974.88,985.61,974.88,980,198.01K
1051,2019-08-19,984.04,985.48,979.17,981.03,158.09K
1109,2019-08-20,983.94,985.35,981.75,984.67,177.94K
1169,2019-08-21,984.36,995.44,983.3,994.38,201.56K
1229,2019-08-22,996.41,998.67,993.23,997.26,153.00K
1285,2019-08-23,998.21,998.21,990.83,992.45,162.57K
1454,2019-08-26,983.8,984.61,977,982.88,189.79K
1512,2019-08-27,986.33,988.49,976.79,976.79,199.81K
1572,2019-08-28,977.1,981.35,977.1,977.26,147.21K
1624,2019-08-29,978.17,978.78,973.34,978.59,138.39K
1672,2019-08-30,980.25,984.87,980.25,984.06,143.16K
214,2019-09-03,984.79,985.21,978.62,979.36,186.48K
222,2019-09-04,977.97,979.91,973.37,977.63,157.39K
231,2019-09-05,979.83,981.67,976.79,976.79,159.54K
238,2019-09-06,977.83,978.73,973.87,974.08,161.16K
261,2019-09-09,974.53,975.03,972.47,974.12,155.33K
269,2019-09-10,974.62,977.44,968.36,970.26,161.45K
278,2019-09-11,969.59,973.13,967.14,969.31,154.51K
288,2019-09-12,972.39,976.07,972.31,976.07,141.32K
708,2019-09-13,976.07,987.22,975.95,987.22,189.23K
880,2019-09-16,987.07,992.6,986.72,989.86,187.15K
942,2019-09-17,990.06,996.74,986.96,996.74,231.44K
1000,2019-09-18,995.75,998.4,993.94,995.15,191.04K
1057,2019-09-19,995.49,997.2,990.55,997.1,186.92K
1114,2019-09-20,997.6,998.56,990.36,990.36,203.60K
1289,2019-09-23,991.75,993.98,985.75,985.75,207.51K
1348,2019-09-24,986.33,991.36,984.94,988.13,165.04K
1404,2019-09-25,985.96,989.18,983.06,987.3,171.57K
1460,2019-09-26,988.7,991.66,986.35,990.75,152.56K
1517,2019-09-27,992.26,998.34,991.5,997.84,180.74K
1676,2019-09-30,999.92,"1,004.17",996.51,996.56,176.22K
200,2019-10-01,997.87,999.72,996.2,999.59,210.25K
207,2019-10-02,999.18,"1,000.93",989.63,991.19,178.78K
215,2019-10-03,985.65,992.45,983.35,989.67,140.12K
223,2019-10-04,993.69,994.81,987.59,987.59,205.01K
246,2019-10-07,989.45,990.34,983.09,983.09,178.90K
254,2019-10-08,983.62,988.51,981.89,988.22,178.38K
262,2019-10-09,987.82,992,986.74,987.83,182.54K
270,2019-10-10,988.81,990.89,986.93,987.38,182.98K
279,2019-10-11,988.57,991.84,987.62,991.84,168.61K
772,2019-10-14,994.61,997.25,992.5,993.57,193.98K
829,2019-10-15,993.55,994.75,990.74,993.05,179.97K
886,2019-10-16,995.75,997.41,993.42,994.46,188.13K
947,2019-10-17,995.04,995.81,989.82,989.82,191.55K
1005,2019-10-18,992,993.03,988.41,989.2,174.42K
1178,2019-10-21,988.18,988.82,983.56,983.56,200.33K
1238,2019-10-22,983.52,987.59,983.52,987.19,231.65K
1295,2019-10-23,987.04,989.61,985.52,987.79,179.02K
1353,2019-10-24,988.85,993.6,987.65,993.6,160.03K
1409,2019-10-25,993.91,996.67,992.91,996.57,173.49K
1581,2019-10-28,998.27,999.94,996.48,996.48,183.76K
1633,2019-10-29,997.77,999.88,995.87,995.87,249.48K
1682,2019-10-30,996.83,"1,003.40",994.86,"1,000.89",181.19K
1723,2019-10-31,"1,000.89","1,004.40",998.58,998.82,218.98K
201,2019-11-01,998.82,"1,015.88",998.82,"1,015.59",241.34K
224,2019-11-04,"1,019.00","1,023.92","1,015.86","1,022.43",232.79K
232,2019-11-05,"1,022.77","1,026.53","1,021.63","1,024.34",199.37K
239,2019-11-06,"1,023.43","1,028.97","1,023.42","1,024.91",225.00K
247,2019-11-07,"1,023.49","1,028.45","1,022.61","1,024.03",193.39K
255,2019-11-08,"1,026.98","1,027.39","1,021.11","1,022.49",181.37K
280,2019-11-11,"1,023.32","1,024.77","1,016.35","1,016.75",210.43K
289,2019-11-12,"1,016.97","1,021.84","1,015.97","1,018.33",223.16K
719,2019-11-13,"1,019.07","1,020.09","1,010.80","1,012.77",286.97K
778,2019-11-14,"1,013.85","1,016.71","1,010.60","1,012.30",209.40K
834,2019-11-15,"1,012.93","1,015.16","1,005.10","1,010.03",212.33K
1009,2019-11-18,"1,010.03","1,012.09","1,002.63","1,002.91",184.31K
1067,2019-11-19,"1,002.89","1,008.35","1,001.35","1,008.35",232.36K
1125,2019-11-20,"1,009.21","1,009.21","1,000.56","1,000.56",210.31K
1184,2019-11-21,999.37,999.63,987.89,987.89,215.01K
1243,2019-11-22,992.73,993.7,971.03,977.78,230.36K
1413,2019-11-25,977.85,979.6,971.24,976.35,189.32K
1470,2019-11-26,976.35,981.96,976.35,976.79,192.50K
1528,2019-11-27,978.98,982.76,978.17,978.17,197.96K
1587,2019-11-28,977.66,979.17,967.68,970.39,191.26K
1638,2019-11-29,971.1,972.89,968.03,970.75,167.27K
208,2019-12-02,971.42,972.91,958.3,959.31,211.00K
216,2019-12-03,957.4,960.82,950.96,953.43,264.94K
225,2019-12-04,952.51,965.9,950.13,965.9,210.10K
233,2019-12-05,969,969.53,962.16,963.27,194.54K
240,2019-12-06,962.38,965.41,960.99,963.56,171.82K
263,2019-12-09,963.91,967.57,962.59,966.06,273.26K
271,2019-12-10,965.92,966.58,955.14,960.3,242.73K
281,2019-12-11,960.59,961.78,954.56,961.78,216.48K
290,2019-12-12,963.39,968.39,962.72,968.17,218.75K
724,2019-12-13,969.43,971.84,965.93,966.18,219.16K
895,2019-12-16,966,966,960.39,961.47,278.44K
956,2019-12-17,962.49,962.79,954.03,954.03,280.85K
1015,2019-12-18,951.52,954.18,949.86,951.13,323.41K
1072,2019-12-19,950.61,955.85,946.74,952.26,222.47K
1130,2019-12-20,953.55,957.52,952.71,956.41,243.33K
1304,2019-12-23,959.55,960.71,958.07,959.43,241.52K
1362,2019-12-24,959.43,959.43,953.29,958.88,229.67K
1419,2019-12-25,958.18,962.83,957.5,960.92,238.32K
1475,2019-12-26,960.67,962.11,957.43,958.59,265.94K
1533,2019-12-27,957.7,963.51,954.19,963.51,180.52K
1691,2019-12-30,962.89,967.52,962.47,965.03,177.74K
1726,2019-12-31,965.71,965.71,958.22,960.99,185.24K
297,2020-01-02,960.26,966.67,959.67,966.67,200.60K
304,2020-01-03,968.72,970.88,965.14,965.14,174.13K
329,2020-01-06,962.79,963.2,955.59,955.79,187.20K
338,2020-01-07,955.79,959.46,953.19,958.88,181.63K
347,2020-01-08,954.13,955.84,945.28,948.98,319.17K
355,2020-01-09,953.86,960.73,952.16,960.15,166.15K
364,2020-01-10,961.17,969.71,961.17,968.54,222.16K
667,2020-01-13,966.89,968.63,964.79,965.84,147.15K
728,2020-01-14,966.26,968.85,965.76,967,190.35K
788,2020-01-15,967.69,967.69,964.84,967.56,150.04K
845,2020-01-16,967.2,974.7,967.17,974.31,201.25K
902,2020-01-17,976.28,980.02,973.79,978.96,164.14K
1075,2020-01-20,978.23,979.85,975.93,978.63,148.80K
1134,2020-01-21,978.82,986.37,978.82,986.37,157.67K
1194,2020-01-22,986.52,991.46,983.92,991.46,152.35K
1648,2020-01-30,975.15,977.72,954,959.58,198.51K
1697,2020-01-31,959.58,960.96,936.62,936.62,253.95K
305,2020-02-03,916.6,930.37,891.85,928.14,275.52K
314,2020-02-04,929.42,934.91,919.33,929.09,197.69K
322,2020-02-05,934.75,936.33,921.89,925.91,197.38K
330,2020-02-06,926.66,938.54,925.21,938.54,223.67K
339,2020-02-07,938.61,943.48,935.94,940.75,194.17K
365,2020-02-10,934.38,935.87,926.61,930.73,153.97K
374,2020-02-11,930.73,936.04,930.73,934.67,179.35K
382,2020-02-12,940.72,943.11,937.34,937.68,228.04K
674,2020-02-13,937.19,939.1,934.47,938.24,177.73K
733,2020-02-14,939.28,940.65,936.47,937.45,204.35K
906,2020-02-17,938.52,938.52,931.66,934.77,183.25K
966,2020-02-18,934.47,934.98,926.01,927.93,187.76K
1023,2020-02-19,926.41,931.66,925.86,928.76,192.17K
1080,2020-02-20,933.69,938.13,930.41,938.13,198.34K
1140,2020-02-21,938.13,940.53,932.32,933.09,206.75K
1312,2020-02-24,917.49,917.49,903.34,903.34,291.88K
1371,2020-02-25,893.95,909.67,893.95,909.67,221.12K
1426,2020-02-26,901.51,903.27,894.25,895.97,142.58K
1483,2020-02-27,892.15,899.34,889.14,898.44,163.29K
1542,2020-02-28,885.47,887.07,872.46,882.19,241.89K
298,2020-03-02,878.43,886.45,877.31,884.43,206.64K
306,2020-03-03,895.39,896.39,890.06,890.61,212.74K
315,2020-03-04,887.85,889.85,882.83,889.37,238.45K
323,2020-03-05,892.71,898.43,891.2,893.31,231.34K
331,2020-03-06,888.96,891.44,882.71,891.44,214.34K
356,2020-03-09,875.8,875.8,834.67,835.49,309.10K
366,2020-03-10,813.83,843.28,806.63,837.5,298.02K
375,2020-03-11,843.52,844.94,794.54,811.35,318.57K
383,2020-03-12,778.06,778.06,762.12,769.25,339.23K
679,2020-03-13,750.56,764.69,723.42,761.78,354.71K
852,2020-03-16,758.28,758.59,737.58,747.86,292.25K
911,2020-03-17,724.07,750.03,721.84,745.78,287.28K
970,2020-03-18,747.4,752.65,742.12,747.66,259.02K
1027,2020-03-19,732.35,733.43,714.02,725.94,353.39K
1085,2020-03-20,728.55,729.35,709.73,709.73,230.59K
1261,2020-03-23,694.77,694.77,664.23,666.59,280.25K
1317,2020-03-24,666.59,666.59,652.27,659.21,245.15K
1375,2020-03-25,669.76,690.25,667.58,690.25,270.18K
1430,2020-03-26,689,700.76,680.1,694.21,221.85K
1488,2020-03-27,692.54,703.22,682.52,696.06,327.99K
1652,2020-03-30,663.91,665.56,657.36,662.26,233.10K
1700,2020-03-31,669.74,678.64,649.1,662.53,262.79K
291,2020-04-01,658.8,684.96,657.41,680.23,267.02K
307,2020-04-03,687.92,701.8,687.92,701.8,233.09K
332,2020-04-06,716.22,736.75,715.39,736.75,334.90K
340,2020-04-07,744.97,749.13,730.28,746.69,292.97K
348,2020-04-08,740.03,748.36,730.12,748.02,252.29K
357,2020-04-09,751.08,765.87,751.08,760.33,298.47K
367,2020-04-10,759.08,764.36,751.59,757.94,338.40K
683,2020-04-13,762.99,774.62,762.53,765.79,235.28K
742,2020-04-14,769.01,769.53,753.85,767.41,266.78K
800,2020-04-15,768.05,779.52,768.01,777.22,302.62K
858,2020-04-16,773.11,781.06,770.91,780.7,250.94K
918,2020-04-17,786.96,790.95,783.74,789.6,309.86K
1089,2020-04-20,796.17,797.49,786.73,794.97,336.05K
1149,2020-04-21,794.97,794.97,761.96,766.84,397.40K
1209,2020-04-22,752.8,774.94,749.97,768.92,253.44K
1267,2020-04-23,768.92,785.6,768.92,773.91,205.80K
1324,2020-04-24,777.28,778.3,767.31,776.66,262.27K
1492,2020-04-27,780.65,785.74,770.77,770.77,307.36K
1551,2020-04-28,773.31,776.13,763.66,767.21,219.40K
1604,2020-04-29,768.59,772.62,768.19,769.11,250.08K
316,2020-05-04,766.14,769.73,761.64,762.47,285.57K
324,2020-05-05,763.22,767.03,760.04,764.16,212.38K
333,2020-05-06,767.3,782.59,765.37,782.59,272.45K
341,2020-05-07,785.08,796.54,785.08,796.54,240.80K
349,2020-05-08,800.32,825.72,800.2,813.73,371.34K
376,2020-05-11,818.26,828.33,812.48,828.33,353.42K
384,2020-05-12,827.29,835.95,819.66,835.32,322.21K
688,2020-05-13,835.32,839.59,815.13,834.21,374.60K
748,2020-05-14,830.97,836.19,826.17,832.4,341.12K
806,2020-05-15,835.42,838.47,824.59,827.03,301.89K
980,2020-05-18,827.49,837.61,823.08,837.01,254.05K
1036,2020-05-19,852.14,854.25,844.15,845.92,385.27K
1094,2020-05-20,843.26,852.91,842.21,852.91,265.77K
1154,2020-05-21,854.93,862.73,854.04,862.73,331.91K
1215,2020-05-22,859.29,860.65,852.08,852.74,303.98K
1384,2020-05-25,852.9,860.45,849.12,859.04,307.23K
1439,2020-05-26,861.47,869.65,860.22,869.13,328.35K
1497,2020-05-27,869.13,875.35,857.48,857.48,388.90K
1557,2020-05-28,858.97,866.17,856.48,861.39,322.22K
1610,2020-05-29,861.59,866.95,859.26,864.47,318.19K
292,2020-06-01,868.97,878.67,868.97,878.67,476.52K
299,2020-06-02,879.23,882.73,874.53,874.8,484.71K
308,2020-06-03,876.73,881.17,874.01,881.17,351.96K
317,2020-06-04,883.22,888.32,883.22,883.9,431.12K
325,2020-06-05,883.4,886.59,878.5,886.22,499.61K
350,2020-06-08,888.7,905.65,888.7,899.92,572.02K
358,2020-06-09,902.26,904.89,898.87,899.43,501.73K
368,2020-06-10,898.78,902.69,890.3,900,542.87K
377,2020-06-11,900.48,903.7,867.37,867.37,707.46K
385,2020-06-12,841.85,863.52,841.44,863.52,620.77K
810,2020-06-15,867.52,868.16,832.47,832.47,708.24K
866,2020-06-16,848.86,858.7,844.67,856.13,412.45K
927,2020-06-17,861.05,861.05,852.27,854.44,354.84K
986,2020-06-18,850.92,858.03,847.49,855.27,280.31K
1043,2020-06-19,857.77,868.56,857.77,868.56,440.09K
1219,2020-06-22,871.56,872.94,867.37,871.28,350.37K
1275,2020-06-23,871.12,873.2,864.02,868.2,455.36K
1333,2020-06-24,868.2,873.13,857.58,859.71,370.92K
1390,2020-06-25,851.09,856.23,849.65,854.59,312.30K
1446,2020-06-26,859.07,862.59,850.66,851.98,300.39K
1614,2020-06-29,846.26,846.53,826,829.36,389.64K
1662,2020-06-30,836.72,840.31,821.92,825.11,358.39K
293,2020-07-01,827.67,844.26,826.38,843.49,303.55K
300,2020-07-02,845.66,845.66,838.48,842.38,223.80K
309,2020-07-03,845.26,848.16,843.25,847.61,203.00K
334,2020-07-06,851.47,861.85,850.04,861.16,215.09K
342,2020-07-07,865.46,870.63,863.42,863.42,330.90K
351,2020-07-08,861.75,865.58,859.98,864.5,237.54K
359,2020-07-09,867.66,878.36,867.45,876.46,306.08K
369,2020-07-10,873.7,878.53,867.59,871.21,291.11K
698,2020-07-13,874.85,876.83,866.99,868.72,246.07K
